## [BeGaze]
## Converted from:	E:\henrik-iwk1\henrik-1-recording.idf
## Date:	13.12.2019 13:30:00
## Version:	BeGaze 3.6.52
## IDF Version:	10
## Sample Rate:	60
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	3381
## Reversed:	none
## [Run]
## Subject:	henrik
## Description:	Run1
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT
##
Time;Type;Trial;L Pupil Diameter [mm];R Pupil Diameter [mm]
197914604;SMP;1;4.10;3.80
197931128;SMP;1;4.10;3.86
197947805;SMP;1;4.14;3.96
197964544;SMP;1;4.12;3.82
197980978;SMP;1;4.14;3.98
197997512;SMP;1;4.12;3.88
198014256;SMP;1;4.16;3.98
198030959;SMP;1;4.16;3.90
198047801;SMP;1;4.18;3.92
198064172;SMP;1;4.16;3.94
198080899;SMP;1;4.14;3.94
198097122;SMP;1;4.18;3.96
198114026;SMP;1;4.18;3.98
198130651;SMP;1;4.16;4.00
198147704;SMP;1;4.14;3.96
198163792;SMP;1;4.18;3.96
198180409;SMP;1;4.14;3.92
198196926;SMP;1;4.26;3.94
198213392;SMP;1;4.24;3.90
198229958;SMP;1;4.20;4.00
198246816;SMP;1;4.22;3.98
198263411;SMP;1;4.20;4.00
198279638;SMP;1;4.18;3.98
198296264;SMP;1;4.20;4.00
198313002;SMP;1;4.20;4.00
198330234;SMP;1;4.20;3.96
198346391;SMP;1;4.18;4.00
198362632;SMP;1;4.18;4.00
198379548;SMP;1;4.18;4.00
198396190;SMP;1;4.20;4.00
198412419;SMP;1;4.22;4.00
198429119;SMP;1;4.24;4.00
198445799;SMP;1;4.24;4.00
198462400;SMP;1;4.26;4.00
198478992;SMP;1;4.28;4.02
198495609;SMP;1;4.24;4.00
198512139;SMP;1;4.20;4.04
198528585;SMP;1;4.24;4.02
198545425;SMP;1;4.20;4.02
198561902;SMP;1;4.20;4.00
198578661;SMP;1;4.26;4.02
198595188;SMP;1;4.22;4.04
198611752;SMP;1;4.30;4.00
198628285;SMP;1;4.28;4.02
198644732;SMP;1;4.22;4.08
198661543;SMP;1;4.28;4.02
198678184;SMP;1;4.30;4.12
198694662;SMP;1;4.32;4.14
198711155;SMP;1;4.36;4.08
198728085;SMP;1;4.28;4.10
198744608;SMP;1;4.30;4.10
198761348;SMP;1;4.32;4.12
198777798;SMP;1;4.30;4.12
198794418;SMP;1;4.28;4.12
198810971;SMP;1;4.36;4.14
198827343;SMP;1;4.32;4.16
198844428;SMP;1;4.34;4.16
198860698;SMP;1;4.36;4.14
198877692;SMP;1;4.40;4.18
198893864;SMP;1;4.42;4.14
198910628;SMP;1;4.38;4.16
198926959;SMP;1;4.34;4.14
198943493;SMP;1;4.38;4.18
198960095;SMP;1;4.38;4.14
198976624;SMP;1;4.32;4.18
198993243;SMP;1;4.34;4.18
199009861;SMP;1;4.30;4.18
199026471;SMP;1;4.32;4.20
199043037;SMP;1;4.36;4.18
199059611;SMP;1;4.32;4.20
199076677;SMP;1;4.38;4.22
199092919;SMP;1;4.34;4.22
199110085;SMP;1;4.30;4.20
199125997;SMP;1;4.30;4.16
199142773;SMP;1;4.34;4.20
199159240;SMP;1;4.26;4.22
199175982;SMP;1;4.36;4.20
199192511;SMP;1;4.32;4.20
199209137;SMP;1;4.36;4.20
199226086;SMP;1;4.38;4.20
199242366;SMP;1;4.40;4.20
199258919;SMP;1;4.34;4.20
199275578;SMP;1;4.30;4.18
199292149;SMP;1;4.36;4.20
199308745;SMP;1;4.38;4.20
199325302;SMP;1;4.40;4.18
199341779;SMP;1;4.32;4.18
199358507;SMP;1;4.38;4.22
199375137;SMP;1;4.40;4.22
199391702;SMP;1;4.40;4.20
199408167;SMP;1;4.38;4.18
199425250;SMP;1;4.38;4.20
199441792;SMP;1;4.40;4.18
199458382;SMP;1;4.32;4.20
199474672;SMP;1;4.32;4.20
199491276;SMP;1;4.34;4.20
199508002;SMP;1;4.56;4.22
199524836;SMP;1;4.56;4.24
199541333;SMP;1;4.50;4.20
199557515;SMP;1;4.46;4.18
199574600;SMP;1;4.42;4.20
199590730;SMP;1;4.44;4.20
